revenue_id,deal_id,amount,received_date
1,1,12500,01/05/2024
2,2,8750,01/08/2024
3,3,23400,01/12/2024
4,4,5600,1/15/2024
5,5,41200,1/18/2024
6,6,15800,1/22/2024
7,7,9300,1/25/2024
8,8,33600,1/29/2024
9,9,7400,02/02/2024
10,10,19800,02/05/2024
11,11,28500,02/08/2024
12,12,6200,02/11/2024
13,13,47300,2/14/2024
14,14,11400,2/17/2024
15,15,22700,2/20/2024
16,16,8900,2/23/2024
17,17,36100,2/26/2024
18,18,14600,03/01/2024
19,19,5100,03/04/2024
20,20,29800,03/07/2024
21,21,18300,03/10/2024
22,22,43700,3/13/2024
23,23,7800,3/16/2024
24,24,25400,3/19/2024
25,25,12100,3/22/2024
26,26,38600,3/25/2024
27,27,9700,3/28/2024
28,28,16400,04/01/2024
29,29,52300,04/04/2024
30,30,6800,04/07/2024
31,31,21500,04/10/2024
32,32,34200,4/13/2024
33,33,8400,4/16/2024
34,34,27900,4/19/2024
35,35,13700,4/22/2024
36,36,45800,4/25/2024
37,37,10200,4/28/2024
38,38,19100,05/01/2024
39,39,31600,05/04/2024
40,40,7100,05/07/2024
41,41,24300,05/10/2024
42,42,56700,5/13/2024
43,43,11800,5/16/2024
44,44,39400,5/19/2024
45,45,15200,5/22/2024
46,46,28100,5/25/2024
47,47,8600,5/28/2024
48,48,42500,5/31/2024
49,49,17900,06/03/2024
50,50,33100,06/06/2024
51,51,6500,06/09/2024
52,52,22800,06/12/2024
53,53,48600,6/15/2024
54,54,12300,6/18/2024
55,55,36900,6/21/2024
56,56,9100,6/24/2024
57,57,25600,6/27/2024
58,58,14800,6/30/2024
59,59,61200,07/03/2024
60,60,7900,07/06/2024
61,61,29300,07/09/2024
62,62,18700,07/12/2024
63,63,44100,7/15/2024
64,64,11500,7/18/2024
65,65,37800,7/21/2024
66,66,8200,7/24/2024
67,67,23500,7/27/2024
68,68,53400,7/30/2024
69,69,16100,08/02/2024
70,70,31900,08/05/2024
71,71,7300,08/08/2024
72,72,26700,08/11/2024
73,73,41800,8/14/2024
74,74,13200,8/17/2024
75,75,35600,8/20/2024
76,76,9800,8/23/2024
77,77,20400,8/26/2024
78,78,58300,8/29/2024
79,79,15700,09/01/2024
80,80,30200,09/04/2024
81,1,6250,09/07/2024
82,2,4375,09/10/2024
83,3,11700,9/13/2024
84,4,2800,9/16/2024
85,5,20600,9/19/2024
86,6,7900,9/22/2024
87,7,4650,9/25/2024
88,8,16800,9/28/2024
89,9,3700,10/01/2024
90,10,9900,10/04/2024
91,11,14250,10/07/2024
92,12,3100,10/10/2024
93,13,23650,10/13/2024
94,14,5700,10/16/2024
95,15,11350,10/19/2024
96,16,4450,10/22/2024
97,17,18050,10/25/2024
98,18,7300,10/28/2024
99,19,2550,10/31/2024
100,20,14900,11/03/2024
101,21,9150,11/06/2024
102,22,21850,11/09/2024
103,23,3900,11/12/2024
104,24,12700,11/15/2024
105,25,6050,11/18/2024
106,26,19300,11/21/2024
107,27,4850,11/24/2024
108,28,8200,11/27/2024
109,29,26150,11/30/2024
110,30,3400,12/03/2024
111,31,10750,12/06/2024
112,32,17100,12/09/2024
113,33,4200,12/12/2024
114,34,13950,12/15/2024
115,35,6850,12/18/2024
116,36,22900,12/21/2024
117,37,5100,12/24/2024
118,38,9550,12/27/2024
119,39,15800,12/30/2024
120,40,3550,12/31/2024
121,41,12150,01/03/2025
122,42,28350,01/06/2025
123,43,5900,01/09/2025
124,44,19700,01/12/2025
125,45,7600,1/15/2025
126,46,14050,1/18/2025
127,47,4300,1/21/2025
128,48,21250,1/24/2025
129,49,8950,1/27/2025
130,50,16550,1/30/2025
131,51,3250,02/02/2025
132,52,11400,02/05/2025
133,53,24300,02/08/2025
134,54,6150,02/11/2025
135,55,18450,2/14/2025
136,56,4550,2/17/2025
137,57,12800,2/20/2025
138,58,7400,2/23/2025
139,59,30600,2/26/2025
140,60,3950,03/01/2025
141,61,14650,03/04/2025
142,62,9350,03/07/2025
143,63,22050,03/10/2025
144,64,5750,3/13/2025
145,65,18900,3/16/2025
146,66,4100,3/19/2025
147,67,11750,3/22/2025
148,68,26700,3/25/2025
149,69,8050,3/28/2025
150,70,15950,3/31/2025
151,71,3650,04/03/2025
152,72,13350,04/06/2025
153,73,20900,04/09/2025
154,74,6600,04/12/2025
155,75,17800,4/15/2025
156,76,4900,4/18/2025
157,77,10200,4/21/2025
158,78,29150,4/24/2025
159,79,7850,4/27/2025
160,80,15100,4/30/2025
161,1,4166.67,05/03/2025
162,2,2916.67,05/06/2025
163,3,7800,05/09/2025
164,4,1866.67,05/12/2025
165,5,13733.33,5/15/2025
166,6,5266.67,5/18/2025
167,7,3100,5/21/2025
168,8,11200,5/24/2025
169,9,2466.67,5/27/2025
170,10,6600,5/30/2025
171,11,9500,06/02/2025
172,12,2066.67,06/05/2025
173,13,15766.67,06/08/2025
174,14,3800,06/11/2025
175,15,7566.67,6/14/2025
176,16,2966.67,6/17/2025
177,17,12033.33,6/20/2025
178,18,4866.67,6/23/2025
179,19,1700,6/26/2025
180,20,9933.33,6/29/2025
181,21,6100,07/02/2025
182,22,14566.67,07/05/2025
183,23,2600,07/08/2025
184,24,8466.67,07/11/2025
185,25,4033.33,7/14/2025
186,26,12866.67,7/17/2025
187,27,3233.33,7/20/2025
188,28,5466.67,7/23/2025
189,29,17433.33,7/26/2025
190,30,2266.67,7/29/2025
191,31,7166.67,08/01/2025
192,32,11400,08/04/2025
193,33,2800,08/07/2025
194,34,9300,08/10/2025
195,35,4566.67,8/13/2025
196,36,15266.67,8/16/2025
197,37,3400,8/19/2025
198,38,6366.67,8/22/2025
199,39,10533.33,8/25/2025
200,40,2366.67,8/28/2025
201,41,8100,09/01/2025
202,42,18900,09/04/2025
203,43,3933.33,09/07/2025
204,44,13133.33,09/10/2025
205,45,5066.67,9/13/2025
206,46,9366.67,9/16/2025
207,47,2866.67,9/19/2025
208,48,14166.67,9/22/2025
209,49,5966.67,9/25/2025
210,50,11033.33,9/28/2025
211,51,2166.67,10/01/2025
212,52,7600,10/04/2025
213,53,16200,10/07/2025
214,54,4100,10/10/2025
215,55,12300,10/13/2025
216,56,3033.33,10/16/2025
217,57,8533.33,10/19/2025
218,58,4933.33,10/22/2025
219,59,20400,10/25/2025
220,60,2633.33,10/28/2025
221,61,9766.67,10/31/2025
222,62,6233.33,11/03/2025
223,63,14700,11/06/2025
224,64,3833.33,11/09/2025
225,65,12600,11/12/2025
226,66,2733.33,11/15/2025
227,67,7833.33,11/18/2025
228,68,17800,11/21/2025
229,69,5366.67,11/24/2025
230,70,10633.33,11/27/2025
231,71,2433.33,11/30/2025
232,72,8900,12/03/2025
233,73,13933.33,12/06/2025
234,74,4400,12/09/2025
235,75,11866.67,12/12/2025
236,76,3266.67,12/15/2025
237,77,6800,12/18/2025
238,78,19433.33,12/21/2025
239,79,5233.33,12/24/2025
240,80,10066.67,12/27/2025
241,61,4883.33,01/03/2026
242,62,3116.67,01/06/2026
243,63,7350,01/09/2026
244,64,1916.67,01/12/2026
245,65,6300,1/15/2026
246,66,1366.67,1/18/2026
247,67,3916.67,1/21/2026
248,68,8900,1/24/2026
249,69,2683.33,1/27/2026
250,70,5316.67,1/30/2026
251,71,1216.67,02/02/2026
252,72,4450,02/05/2026
253,73,6966.67,02/08/2026
254,74,2200,02/11/2026
255,75,5933.33,2/14/2026
256,76,1633.33,2/17/2026
257,77,3400,2/20/2026
258,78,9716.67,2/23/2026
259,79,2616.67,2/26/2026
260,80,5033.33,03/01/2026
261,41,2700,03/04/2026
262,42,6300,03/07/2026
263,43,1311.11,03/10/2026
264,44,4377.78,3/13/2026
265,45,1688.89,3/16/2026
266,46,3122.22,3/19/2026
267,47,955.56,3/22/2026
268,48,4722.22,3/25/2026
269,49,1988.89,3/28/2026
270,50,3677.78,3/31/2026
271,51,722.22,01/05/2026
272,52,2533.33,01/08/2026
273,53,5400,01/11/2026
274,54,1366.67,1/14/2026
275,55,4100,1/17/2026
276,56,1011.11,1/20/2026
277,57,2844.44,1/23/2026
278,58,1644.44,1/26/2026
279,59,6800,1/29/2026
280,60,877.78,02/01/2026
281,21,2033.33,02/04/2026
282,22,4855.56,02/07/2026
283,23,866.67,02/10/2026
284,24,2822.22,2/13/2026
285,25,1344.44,2/16/2026
286,26,4288.89,2/19/2026
287,27,1077.78,2/22/2026
288,28,1822.22,2/25/2026
289,29,5811.11,2/28/2026
290,30,755.56,03/03/2026
291,11,3166.67,03/06/2026
292,12,688.89,03/09/2026
293,13,5255.56,03/12/2026
294,14,1266.67,3/15/2026
295,15,2522.22,3/18/2026
296,16,988.89,3/21/2026
297,17,4011.11,3/24/2026
298,18,1622.22,3/27/2026
299,19,566.67,3/30/2026
300,20,3311.11,3/31/2026
